probe,gene,gsm,tumor,expression,mean,std,z_score
ILMN_1696521,egfr,GSM4003212,MN,298.3873,279.1717563,151.1702175,0.127111967
ILMN_1696521,egfr,GSM4003218,MN,331.282,279.1717563,151.1702175,0.344712368
ILMN_1696521,egfr,GSM4003227,MN,336.74,279.1717563,151.1702175,0.380817363
ILMN_1696521,egfr,GSM4003228,MN,295.937,279.1717563,151.1702175,0.110903086
ILMN_1696521,egfr,GSM4003231,MN,286.0556,279.1717563,151.1702175,0.045537036
ILMN_1696521,egfr,GSM4003255,MN,372.1439,279.1717563,151.1702175,0.615016272
ILMN_1696521,egfr,GSM4003258,MN,378.2389,279.1717563,151.1702175,0.655335061
ILMN_1696521,egfr,GSM4003264,MN,322.7394,279.1717563,151.1702175,0.28820256
ILMN_1696521,egfr,GSM4003282,MN,230.2562,279.1717563,151.1702175,-0.323579321
ILMN_1696521,egfr,GSM4003284,MN,233.8087,279.1717563,151.1702175,-0.300079322
ILMN_1696521,egfr,GSM4003287,MN,252.8988,279.1717563,151.1702175,-0.173797172
ILMN_1696521,egfr,GSM4003295,MN,237.4661,279.1717563,151.1702175,-0.275885403
ILMN_1696521,egfr,GSM4003296,MN,218.4959,279.1717563,151.1702175,-0.401374407
ILMN_1696521,egfr,GSM4003298,MN,239.0387,279.1717563,151.1702175,-0.26548256
ILMN_1696521,egfr,GSM4003299,MN,223.9096,279.1717563,151.1702175,-0.365562458
ILMN_1696521,egfr,GSM4003308,MN,119.3475,279.1717563,151.1702175,-1.057246983
ILMN_1696521,egfr,GSM4003310,MN,122.4792,279.1717563,151.1702175,-1.036530601
ILMN_1696521,egfr,GSM4003311,MN,130.3672,279.1717563,151.1702175,-0.984351011
ILMN_1696521,egfr,GSM4003336,MN,114.0523,279.1717563,151.1702175,-1.092275047
ILMN_1696521,egfr,GSM4003349,MN,232.6451,279.1717563,151.1702175,-0.307776605
ILMN_1696521,egfr,GSM4003350,MN,225.4734,279.1717563,151.1702175,-0.355217828
ILMN_1696521,egfr,GSM4003354,MN,237.1594,279.1717563,151.1702175,-0.277914242
ILMN_1696521,egfr,GSM4003359,MN,229.489,279.1717563,151.1702175,-0.328654395
ILMN_1696521,egfr,GSM4003360,MN,236.0924,279.1717563,151.1702175,-0.28497251
ILMN_1696521,egfr,GSM4003361,MN,285.5317,279.1717563,151.1702175,0.042071406
ILMN_1696521,egfr,GSM4003390,MN,248.3504,279.1717563,151.1702175,-0.20388511
ILMN_1696521,egfr,GSM4003393,MN,196.7382,279.1717563,151.1702175,-0.545302889
ILMN_1696521,egfr,GSM4003397,MN,220.2341,279.1717563,151.1702175,-0.38987611
ILMN_1696521,egfr,GSM4003401,MN,201.8511,279.1717563,151.1702175,-0.511480751
ILMN_1696521,egfr,GSM4003402,MN,283.0211,279.1717563,151.1702175,0.025463638
ILMN_1696521,egfr,GSM4003405,MN,99.5967,279.1717563,151.1702175,-1.187899702
ILMN_1696521,egfr,GSM4003427,MN,164.2247,279.1717563,151.1702175,-0.76038163
ILMN_1696521,egfr,GSM4003429,MN,90.60193,279.1717563,151.1702175,-1.247400642
ILMN_1696521,egfr,GSM4003430,MN,296.1103,279.1717563,151.1702175,0.112049476
ILMN_1696521,egfr,GSM4003431,MN,96.12021,279.1717563,151.1702175,-1.210896891
ILMN_1696521,egfr,GSM4003453,MN,346.2558,279.1717563,151.1702175,0.443764948
ILMN_1696521,egfr,GSM4003457,MN,337.2215,279.1717563,151.1702175,0.384002515
ILMN_1696521,egfr,GSM4003477,MN,334.6801,279.1717563,151.1702175,0.367191002
ILMN_1696521,egfr,GSM4003479,MN,294.641,279.1717563,151.1702175,0.102329969
ILMN_1696521,egfr,GSM4003492,MN,374.4586,279.1717563,151.1702175,0.630328151
ILMN_1696521,egfr,GSM4003501,MN,281.4294,279.1717563,151.1702175,0.014934447
ILMN_1696521,egfr,GSM4003502,MN,300.319,279.1717563,151.1702175,0.139890277
ILMN_1696521,egfr,GSM4003512,MN,287.9422,279.1717563,151.1702175,0.058017008
ILMN_1696521,egfr,GSM4003513,MN,294.1569,279.1717563,151.1702175,0.099127619
